IdPE	loc	UE	long	lat	agri	arbu	prai	hydro	foret	heter	ecot	fcoeur	lisi	pente	alt	prec	temp	bati
37	Grande-Terre	Plateaux_N	663300	1819300	0.3777	0	0	3.822	0.4924	1.0499	54.9105	0	191.1451	3.9864	58.6236	1418.0532	25.5062	0.0208
38	Grande-Terre	Plateaux_Atl	667900	1819100	0.5986	0	0.0262	1.97	0.2659	1.3428	45.6944	0	101.4877	2.2388	35.424	1342.6473	25.6247	0.0155
39	Grande-Terre	Plateaux_N	660100	1818900	0.489	0	0.0347	3.1462	0.439	1.1818	49.2747	0	152.4074	3.3355	21.664	1394.1173	25.6877	0.0021
40	Grande-Terre	Plateaux_N	658100	1818700	0.6361	0.026	0.0415	7.2925	0.1612	1.2112	37.5988	0	93.787	1.2679	7.9267	1389.4637	25.7358	0.0035
41	Grande-Terre	Plateaux_N	660900	1818500	0.5017	0	0.0126	4.8682	0.4459	0.9372	47.2377	0	148.6451	3.5472	39.8196	1436.2739	25.5691	0.0024
42	Grande-Terre	Plateaux_N	662300	1818300	0.5381	0	0	4.9106	0.3047	1.2309	57.0864	0	135.8796	3.6128	54.2677	1450.9698	25.4877	0.0252
43	Grande-Terre	Plateaux_Atl	666300	1818300	0.6205	0	0.1506	9.4053	0.0919	1.2543	43.0525	0	87.4722	2.0855	25.3123	1328.1582	25.716	0.0193
44	Grande-Terre	Plateaux_Atl	669100	1818300	0.7744	0	0	2.5791	0.1715	0.9917	43.4198	0	73.463	1.8102	38.9645	1314.5439	25.6877	1.00E-04
45	Grande-Terre	Plateaux_N	658900	1818100	0.6538	0	0	2.5268	0.2684	1.2024	47.7346	0	94.5741	2.8691	11.7539	1404.5093	25.6988	0.0023
46	Grande-Terre	Plateaux_N	661500	1818100	0.608	0	0	5.3185	0.3297	0.9237	49.5185	0	114.1667	3.7468	48.1046	1458.2354	25.5025	0.0026
47	Grande-Terre	Plateaux_N	665500	1818100	0.8391	0	0.0603	9.8896	0.0394	0.9529	28.284	0	40.0062	1.5555	19.0332	1328.0625	25.7346	0.0091
48	Grande-Terre	Plateaux_Atl	667500	1818100	0.75	0	0.0527	2.9271	0.1021	1.2039	38.4012	0	79.963	1.8028	30.9612	1328.7438	25.6877	0.0154
49	Grande-Terre	Plateaux_N	658500	1817900	0.531	0	0.0052	6.4808	0.2962	1.2892	34.8858	0	92.4444	2.1241	8.5181	1402.5756	25.7247	0.0019
50	Grande-Terre	Plateaux_N	662100	1817900	0.6399	0	0.0079	5.4803	0.253	1.2681	50.8302	0	104.4691	3.7308	48.1024	1449.8857	25.5037	0.0152
51	Grande-Terre	Plateaux_N	664700	1817900	0.9344	0	0.0427	4.4473	0.0229	0.3404	14.3025	0	17.1358	0.9656	15.9441	1333.2277	25.7185	2.00E-04
52	Grande-Terre	Plateaux_N	661100	1817700	0.7112	0	0	4.625	0.276	0.9764	41.6049	0	106.0031	3.8233	41.6715	1457.5864	25.5309	0.0021
53	Grande-Terre	Plateaux_N	665900	1817700	0.7488	0	0.1347	8.7651	0.0612	1.1726	34.5772	0	50.108	1.9165	23.5478	1333.2662	25.7123	0.0079
54	Grande-Terre	Plateaux_N	664700	1817300	0.8463	0	0.0575	5.7566	0.0949	0.6043	21.1852	0	56.6481	1.1961	17.7743	1339.9298	25.7025	8.00E-04
55	Grande-Terre	Plateaux_Atl	667700	1817300	0.9219	0	0.03	1.8023	0.0439	0.7487	34.9414	0	39.8704	1.5692	33.5305	1333.1011	25.6617	0.0011
56	Grande-Terre	Plateaux_N	658700	1816900	0.665	0	0.0031	2.0931	0.2495	1.3292	43.6944	0	88.2346	2.6512	14.1395	1429.6396	25.6889	0.0044
57	Grande-Terre	Plateaux_N	666100	1816900	0.8073	0	0.0691	4.0891	0.0999	0.9144	34.8364	0	59.3148	1.7623	27.3397	1340.8464	25.6617	6.00E-04
58	Grande-Terre	Plateaux_N	659500	1816700	0.811	0	2.00E-04	1.5811	0.1843	0.8322	43.5679	0	77.892	2.5146	19.8185	1442.1489	25.642	9.00E-04
59	Grande-Terre	Plateaux_N	660100	1816700	0.8764	0	0	2.2529	0.1205	0.66	43.4321	0	75.0247	2.5066	21.0285	1441.1497	25.6321	0.0011
60	Grande-Terre	Plateaux_N	665300	1816700	0.8858	0	8.00E-04	2.8486	0.1029	0.4325	20.6327	0	63.784	1.5973	22.5442	1342.7577	25.679	6.00E-04
61	Grande-Terre	Plateaux_Atl	668700	1816700	0.8898	0	0	3.7762	0.1102	0.6435	23.7963	0	77.0957	1.7014	37.5855	1343.6396	25.6074	4.00E-04
62	Grande-Terre	Plateaux_N	663900	1816500	0.6202	0	0.0974	13.9915	0.193	1.2033	46.4444	0	115.4907	1.6728	19.5503	1360.0857	25.7	0.0128
63	Grande-Terre	Plateaux_Atl	670700	1816500	0.1532	0	0	1.4829	0.4065	0.9962	24.4474	0	136.1004	6.2901	37.5688	1274.0441	25.7918	0.0033
64	Grande-Terre	Plateaux_N	661100	1816300	0.7328	0.0178	0.0418	29.0835	0.106	1.0388	46.6451	0	68.787	2.4805	17.2568	1406.3557	25.6926	0.0052
65	Grande-Terre	Plateaux_N	664700	1816300	0.8623	0	0.0086	0.8833	0.1291	0.6081	14.0679	0	80.8673	1.6002	22.0997	1350.402	25.6889	0.0027
66	Grande-Terre	Plateaux_Atl	669900	1816300	0.4643	0	0	3.1536	0.3425	1.0969	23.6215	0	149.8698	3.7713	40.8385	1316.5841	25.6667	0.0014
67	Grande-Terre	Plateaux_N	658700	1816100	0.6946	0	0.0671	5.6794	0.154	1.1605	42.9506	0	86.1451	2.2598	14.6715	1435.23	25.7	0.0185
68	Grande-Terre	Plateaux_N	659100	1815900	0.7764	0	0.0534	1.9907	0.1088	0.8341	35.179	0	82.9414	1.9253	15.8187	1434.429	25.6988	0.0107
